problem_name,cost,time
sawt100_0,1611.1320,45.6380
sawt100_1,1476.9720,45.7240
sawt100_2,1446.2560,45.6090
sawt100_3,1599.1740,45.5930
sawt100_4,1660.4150,45.7470
sawt100_5,1511.1060,45.6220
sawt100_6,1580.8070,45.6400
sawt100_7,1605.7130,45.7080
sawt100_8,1550.9630,45.5710
sawt100_9,1520.0870,45.6650
sawt100_10,1613.8910,45.6320
sawt100_11,1579.4220,45.7390
sawt100_12,1583.4180,45.6430
sawt100_13,1566.6300,45.6300
sawt100_14,1602.7870,45.6060
sawt100_15,1575.1900,45.7150
sawt100_16,1587.7780,45.6590
sawt100_17,1600.9180,45.5760
sawt100_18,1598.6580,45.6190
sawt100_19,1542.5330,45.6100
sawt100_20,1641.4400,45.6350
sawt100_21,1631.2060,45.6830
sawt100_22,1610.6640,45.6150
sawt100_23,1506.4650,45.7370
sawt100_24,1684.5490,45.7870
sawt100_25,1576.9600,45.6130
sawt100_26,1644.9080,45.6680
sawt100_27,1679.2780,45.5600
sawt100_28,1605.7580,45.6710
sawt100_29,1712.8810,45.5640
sawt100_30,1565.4630,45.6710
sawt100_31,1558.4210,45.6550
sawt100_32,1606.5500,45.6140
sawt100_33,1590.7560,45.6290
sawt100_34,1672.4090,45.6450
sawt100_35,1496.9000,45.6630
sawt100_36,1561.4590,45.6380
sawt100_37,1583.1510,45.6770
sawt100_38,1610.9830,45.6380
sawt100_39,1555.5270,45.5960
sawt100_40,1533.3540,45.6730
sawt100_41,1614.3260,45.6850
sawt100_42,1522.4130,45.6300
sawt100_43,1614.8230,45.6280
sawt100_44,1577.0140,45.6980
sawt100_45,1539.9170,45.6370
sawt100_46,1661.7190,45.6470
sawt100_47,1555.1560,45.6160
sawt100_48,1576.4870,45.6040
sawt100_49,1602.8670,45.6510
sawt100_50,1671.2700,45.6710
sawt100_51,1627.1140,45.6170
sawt100_52,1665.6550,45.5820
sawt100_53,1555.6580,45.6160
sawt100_54,1599.4120,45.6300
sawt100_55,1548.6070,45.6140
sawt100_56,1618.0930,45.6250
sawt100_57,1568.8020,45.7780
sawt100_58,1613.4750,45.6420
sawt100_59,1600.3380,45.6120
sawt100_60,1520.3580,45.7200
sawt100_61,1575.5700,45.6340
sawt100_62,1574.5450,45.6310
sawt100_63,1565.3550,45.6270
sawt100_64,1565.3590,45.6440
sawt100_65,1686.9720,45.6390
sawt100_66,1564.9050,45.5750
sawt100_67,1712.8070,45.6530
sawt100_68,1704.2100,45.6240
sawt100_69,1633.9250,45.6470
sawt100_70,1571.8750,45.6690
sawt100_71,1635.4410,45.6050
sawt100_72,1612.2690,45.6740
sawt100_73,1586.1340,45.6730
sawt100_74,1548.5420,45.6920
sawt100_75,1514.9240,45.7030
sawt100_76,1488.0280,45.7180
sawt100_77,1623.4460,45.6690
sawt100_78,1632.9000,45.6890
sawt100_79,1615.5780,45.6640
sawt100_80,1497.9790,45.6580
sawt100_81,1619.0820,45.6680
sawt100_82,1562.8090,45.6560
sawt100_83,1664.7010,45.7840
sawt100_84,1648.9660,45.7120
sawt100_85,1588.6250,45.6970
sawt100_86,1546.9540,45.6190
sawt100_87,1627.0670,45.6600
sawt100_88,1594.1110,45.6360
sawt100_89,1634.5610,45.6430
sawt100_90,1692.9310,45.6330
sawt100_91,1517.4100,45.6510
sawt100_92,1575.1030,45.6730
sawt100_93,1725.3110,45.6150
sawt100_94,1604.2160,45.6100
sawt100_95,1613.9800,45.6390
sawt100_96,1574.1000,45.6360
sawt100_97,1530.1510,45.6320
sawt100_98,1566.2510,45.6590
sawt100_99,1636.3900,45.7360
sawt100_100,1631.5390,45.5720
sawt100_101,1430.1910,45.6520
sawt100_102,1584.6430,45.6060
sawt100_103,1692.6940,45.6360
sawt100_104,1497.6290,45.7160
sawt100_105,1654.4730,45.6280
sawt100_106,1721.9450,45.7080
sawt100_107,1586.6450,45.6180
sawt100_108,1668.7490,45.7530
sawt100_109,1604.5110,45.7740
sawt100_110,1584.5230,45.6510
sawt100_111,1493.3990,45.6220
sawt100_112,1641.0350,45.7560
sawt100_113,1710.6010,45.6370
sawt100_114,1532.2140,45.5970
sawt100_115,1567.7200,45.5970
sawt100_116,1549.4800,45.6090
sawt100_117,1635.8340,45.6120
sawt100_118,1724.6300,45.6130
sawt100_119,1469.9690,45.6250
sawt100_120,1615.1730,45.6710
sawt100_121,1637.8150,45.5030
sawt100_122,1514.6970,45.6360
sawt100_123,1610.5720,45.6570
sawt100_124,1555.9750,45.6630
sawt100_125,1658.9580,45.6730
sawt100_126,1513.0250,45.6200
sawt100_127,1610.1270,45.6400
sawt100_128,1549.6450,45.6320
sawt100_129,1717.1970,45.6330
sawt100_130,1605.4270,45.7130
sawt100_131,1508.8180,45.5780
sawt100_132,1637.1180,45.5830
sawt100_133,1601.4300,45.6250
sawt100_134,1642.7510,45.6400
sawt100_135,1530.7710,45.6110
sawt100_136,1560.7760,45.6810
sawt100_137,1449.7540,45.6270
sawt100_138,1580.9450,45.6440
sawt100_139,1627.5750,45.6930
sawt100_140,1671.2420,45.6560
sawt100_141,1651.2690,45.6070
sawt100_142,1627.5320,45.5800
sawt100_143,1674.9830,45.6080
sawt100_144,1527.3650,45.7230
sawt100_145,1613.8970,45.6940
sawt100_146,1483.8260,45.6240
sawt100_147,1471.8880,45.5440
sawt100_148,1628.1640,45.6760
sawt100_149,1535.7770,45.7050
sawt100_150,1656.4720,45.6230
sawt100_151,1567.9780,45.5840
sawt100_152,1546.6890,45.6220
sawt100_153,1542.9020,45.6300
sawt100_154,1582.2340,45.6650
sawt100_155,1577.4800,45.5940
sawt100_156,1556.4640,45.6030
sawt100_157,1494.7330,45.6880
sawt100_158,1531.1790,45.6100
sawt100_159,1609.4570,45.5930
sawt100_160,1533.4870,45.6810
sawt100_161,1595.5600,45.6390
sawt100_162,1623.8420,45.6080
sawt100_163,1597.4430,45.5970
sawt100_164,1636.5040,45.7610
sawt100_165,1600.3060,45.5550
sawt100_166,1497.8680,45.6330
sawt100_167,1509.1570,45.5930
sawt100_168,1557.7700,45.6160
sawt100_169,1611.6890,45.6760
sawt100_170,1580.6400,45.6140
sawt100_171,1531.0370,45.6000
sawt100_172,1575.4390,45.6090
sawt100_173,1540.4330,45.6140
sawt100_174,1556.7100,45.6150
sawt100_175,1566.0130,45.7540
sawt100_176,1655.9680,45.6180
sawt100_177,1407.9670,45.6190
sawt100_178,1596.1570,45.6500
sawt100_179,1531.4210,45.5620
sawt100_180,1679.2300,45.7790
sawt100_181,1556.4600,45.5910
sawt100_182,1681.6220,45.6050
sawt100_183,1580.8430,45.7220
sawt100_184,1528.9930,45.7050
sawt100_185,1524.8970,45.6390
sawt100_186,1607.7190,45.6300
sawt100_187,1580.1390,45.7850
sawt100_188,1624.2670,45.6420
sawt100_189,1513.5370,45.6340
sawt100_190,1580.4780,45.6580
sawt100_191,1592.4140,45.6820
sawt100_192,1610.3460,45.6430
sawt100_193,1613.4050,45.6590
sawt100_194,1641.9860,45.6340
sawt100_195,1670.3890,45.7320
sawt100_196,1625.3090,45.8170
sawt100_197,1533.1800,45.5640
sawt100_198,1528.0200,45.7460
sawt100_199,1681.0610,45.6430
sawt100_200,1558.5080,45.6140
sawt100_201,1608.6790,45.6130
sawt100_202,1671.1010,45.6090
sawt100_203,1629.8330,45.7240
sawt100_204,1605.5450,45.6860
sawt100_205,1683.2480,45.6270
sawt100_206,1556.8430,45.6500
sawt100_207,1654.2620,45.6740
sawt100_208,1525.4560,45.6470
sawt100_209,1480.5890,45.6150
sawt100_210,1688.4090,45.6350
sawt100_211,1644.3810,45.6130
sawt100_212,1600.0370,45.6200
sawt100_213,1645.2120,45.6190
sawt100_214,1574.8350,45.6070
sawt100_215,1576.3600,45.6050
sawt100_216,1620.9790,45.6550
sawt100_217,1572.1450,45.5970
sawt100_218,1620.7040,45.6070
sawt100_219,1621.2860,45.6440
sawt100_220,1747.1020,45.6420
sawt100_221,1568.5830,45.6020
sawt100_222,1574.5500,45.6300
sawt100_223,1569.6740,45.6350
sawt100_224,1635.6780,45.6570
sawt100_225,1565.5140,45.6670
sawt100_226,1612.7750,45.6090
sawt100_227,1607.0640,45.6290
sawt100_228,1576.6490,45.6520
sawt100_229,1485.3610,45.7030
sawt100_230,1600.1040,45.6570
sawt100_231,1653.9790,45.5750
sawt100_232,1605.0200,45.6460
sawt100_233,1686.6220,45.5980
sawt100_234,1552.1020,45.5820
sawt100_235,1581.8870,45.7040
sawt100_236,1586.4430,45.6310
sawt100_237,1575.4150,45.6420
sawt100_238,1676.0200,45.7540
sawt100_239,1606.6650,45.6310
sawt100_240,1478.8420,45.7100
sawt100_241,1672.9290,45.6730
sawt100_242,1525.4120,45.6010
sawt100_243,1663.7130,45.5810
sawt100_244,1592.5680,45.6410
sawt100_245,1640.0070,45.7730
sawt100_246,1529.2480,45.6700
sawt100_247,1646.4140,45.5720
sawt100_248,1466.5260,45.5980
sawt100_249,1501.7210,45.7440
sawt100_250,1560.3930,45.6670
sawt100_251,1584.0690,45.6010
sawt100_252,1581.0250,45.6400
sawt100_253,1690.7460,45.6690
sawt100_254,1604.3690,45.6640
sawt100_255,1563.2550,45.6390
