problem_name,cost,time
uniform20_0,75.3230,0.0970
uniform20_1,69.4770,0.0950
uniform20_2,78.9800,0.0690
uniform20_3,89.2910,0.0690
uniform20_4,79.4980,0.0680
uniform20_5,75.8450,0.0680
uniform20_6,82.7310,0.0690
uniform20_7,79.5760,0.0690
uniform20_8,78.9080,0.0690
uniform20_9,81.1690,0.0680
uniform20_10,77.5540,0.0690
uniform20_11,74.0070,0.0690
uniform20_12,80.2800,0.0680
uniform20_13,72.9750,0.0680
uniform20_14,77.8490,0.0680
uniform20_15,70.2720,0.0680
uniform20_16,85.9340,0.0700
uniform20_17,71.1670,0.0680
uniform20_18,76.8020,0.0680
uniform20_19,71.3600,0.0680
uniform20_20,75.4040,0.0680
uniform20_21,73.8680,0.0690
uniform20_22,73.4690,0.0690
uniform20_23,77.7670,0.0690
uniform20_24,74.6880,0.0680
uniform20_25,75.9510,0.0690
uniform20_26,69.8660,0.0690
uniform20_27,84.2080,0.0680
uniform20_28,74.2400,0.0680
uniform20_29,61.3700,0.0690
uniform20_30,75.9330,0.0680
uniform20_31,79.7270,0.0690
uniform20_32,72.5440,0.0680
uniform20_33,65.2450,0.0690
uniform20_34,75.6230,0.0690
uniform20_35,85.9660,0.0690
uniform20_36,65.5240,0.0680
uniform20_37,83.8370,0.0680
uniform20_38,75.7430,0.0680
uniform20_39,70.5830,0.0680
uniform20_40,79.0770,0.0680
uniform20_41,72.7320,0.0690
uniform20_42,69.8460,0.0680
uniform20_43,87.0470,0.0680
uniform20_44,77.7310,0.0690
uniform20_45,76.0030,0.0680
uniform20_46,68.3600,0.0680
uniform20_47,68.1880,0.0690
uniform20_48,69.1390,0.0690
uniform20_49,70.4010,0.0680
uniform20_50,70.4370,0.0690
uniform20_51,75.9240,0.0680
uniform20_52,76.9700,0.0680
uniform20_53,72.5380,0.0690
uniform20_54,76.8390,0.0690
uniform20_55,73.7890,0.0680
uniform20_56,79.9060,0.0680
uniform20_57,80.1190,0.0680
uniform20_58,68.0170,0.0690
uniform20_59,79.0720,0.0680
uniform20_60,83.0780,0.0680
uniform20_61,74.2130,0.0690
uniform20_62,84.5160,0.0680
uniform20_63,84.0510,0.0690
uniform20_64,75.8780,0.0680
uniform20_65,68.2910,0.0680
uniform20_66,86.0550,0.0690
uniform20_67,72.7530,0.0680
uniform20_68,91.6670,0.0680
uniform20_69,70.9550,0.0680
uniform20_70,70.3830,0.0690
uniform20_71,70.3710,0.0680
uniform20_72,71.1700,0.0680
uniform20_73,74.7830,0.0670
uniform20_74,80.3740,0.0690
uniform20_75,71.4200,0.0680
uniform20_76,75.6560,0.0690
uniform20_77,78.5120,0.0690
uniform20_78,68.0810,0.0680
uniform20_79,81.1830,0.0680
uniform20_80,75.9660,0.0680
uniform20_81,66.9840,0.0680
uniform20_82,73.1860,0.0680
uniform20_83,81.8120,0.0690
uniform20_84,79.5380,0.0690
uniform20_85,73.5720,0.0690
uniform20_86,73.6060,0.0690
uniform20_87,72.0590,0.0680
